method,dataset,n_train,n_attack,n_epochs,batch_size,lr,base_dim,repr_dim,proj_dim,k_steps,num_t_samples,classifier,target_byte,device,train_start_time,train_end_time,train_time_sec,train_time_ms,final_rank,min_rank,rank0_trace,figure_path,checkpoint_path
CPC-ref,ASCAD.h5,50000,10000,30,64,0.0002,,320,,,,LogisticRegression,2,cuda,1783087411.375035,1783087717.6898448,306.31,306314.81,2,0,663,outputs/figures/cpc_ref/cpc_ref_linear_probe_rank.png,outputs/checkpoints/cpc_ref/cpc_ref_encoder.pt
CPC-ref,ASCAD.h5,50000,10000,30,64,0.0002,,320,,,,LogisticRegression,2,cuda,1783087943.2489045,1783088350.476337,407.23,407227.43,9,3,-1,outputs/figures/cpc_ref/cpc_ref_linear_probe_rank.png,outputs/checkpoints/cpc_ref/cpc_ref_encoder.pt
CPC-ref,ASCAD.h5,50000,10000,30,64,0.0002,,320,,,,LogisticRegression,2,cuda,1783088614.6302032,1783088933.845056,319.21,319214.85,2,1,-1,outputs/figures/cpc_ref/cpc_ref_linear_probe_rank.png,outputs/checkpoints/cpc_ref/cpc_ref_encoder.pt
CPC-ref,ASCAD.h5,50000,10000,30,64,0.0002,,320,,,,LogisticRegression,2,cuda,1783089385.4153235,1783089579.7535026,194.34,194338.18,1,0,379,outputs/figures/cpc_ref/cpc_ref_linear_probe_rank.png,outputs/checkpoints/cpc_ref/cpc_ref_encoder.pt
CPC-ref,ASCAD.h5,50000,10000,30,64,0.0002,,320,,,,LogisticRegression,2,cuda,1783089868.323661,1783090048.8456025,180.52,180521.94,3,2,-1,outputs/figures/cpc_ref/cpc_ref_linear_probe_rank.png,outputs/checkpoints/cpc_ref/cpc_ref_encoder.pt
MAE-1D,ASCAD.h5,50000,10000,30,128,0.0001,,,,,,LogisticRegression,2,cuda,1783090243.1571453,1783090471.9628305,228.81,228805.69,98,19,-1,outputs/figures/mae_patch10_mask50_dim320_ep30/mae_patch10_mask50_dim320_ep30_linear_probe_rank.png,outputs/checkpoints/mae_patch10_mask50_dim320_ep30/mae_patch10_mask50_dim320_ep30_encoder.pt
BYOL-1D,ASCAD.h5,50000,10000,30,128,0.001,,320,256,,,LogisticRegression,2,cuda,1783090569.3752193,1783090746.307759,176.93,176932.54,49,34,-1,outputs/figures/byol_shift10_noise0p05_mask5_ep30/byol_shift10_noise0p05_mask5_ep30_linear_probe_rank.png,outputs/checkpoints/byol_shift10_noise0p05_mask5_ep30/byol_shift10_noise0p05_mask5_ep30_encoder.pt
CPC-ref,ASCAD.h5,50000,10000,100,64,0.0002,,320,,,,LogisticRegression,2,cuda,1783644911.807844,1783645559.264262,647.46,647456.42,0,0,5723,outputs/figures/cpc_ref_pred6_neg10_ep100/cpc_ref_pred6_neg10_ep100_linear_probe_rank.png,outputs/checkpoints/cpc_ref_pred6_neg10_ep100/cpc_ref_pred6_neg10_ep100_encoder.pt
MAE-1D,ASCAD.h5,50000,10000,100,128,0.0001,,,,,,LogisticRegression,2,cuda,1783649602.3111212,1783650363.33221,761.02,761021.09,21,14,-1,outputs/figures/mae_patch10_mask50_dim320_ep100/mae_patch10_mask50_dim320_ep100_linear_probe_rank.png,outputs/checkpoints/mae_patch10_mask50_dim320_ep100/mae_patch10_mask50_dim320_ep100_encoder.pt
MAE-1D,ASCAD.h5,50000,10000,100,128,0.0001,,,,,,LogisticRegression,2,cuda,1783650798.7762506,1783652437.0339873,1638.26,1638257.74,8,4,-1,outputs/figures/mae_patch5_mask30_dim320_ep100/mae_patch5_mask30_dim320_ep100_linear_probe_rank.png,outputs/checkpoints/mae_patch5_mask30_dim320_ep100/mae_patch5_mask30_dim320_ep100_encoder.pt
MAE-1D,ASCAD.h5,50000,10000,100,128,0.0001,,,,,,LogisticRegression,2,cuda,1783653093.5294156,1783654730.5509045,1637.02,1637021.49,13,3,-1,outputs/figures/mae_patch5_mask20_dim320_ep100/mae_patch5_mask20_dim320_ep100_linear_probe_rank.png,outputs/checkpoints/mae_patch5_mask20_dim320_ep100/mae_patch5_mask20_dim320_ep100_encoder.pt
BYOL-1D,ASCAD.h5,50000,10000,100,128,0.001,,320,256,,,LogisticRegression,2,cuda,1783655234.664267,1783655820.2885475,585.62,585624.28,123,43,-1,outputs/figures/byol_shift10_noise0p05_mask5_ep100/byol_shift10_noise0p05_mask5_ep100_linear_probe_rank.png,outputs/checkpoints/byol_shift10_noise0p05_mask5_ep100/byol_shift10_noise0p05_mask5_ep100_encoder.pt
MAE-1D,ASCAD.h5,50000,10000,100,128,0.0001,,,,,,LogisticRegression,2,cuda,1783662392.5896368,1783664016.2887108,1623.7,1623699.07,54,22,-1,outputs/figures/mae_patch5_mask30_dim320_ep100/mae_patch5_mask30_dim320_ep100_linear_probe_rank.png,outputs/checkpoints/mae_patch5_mask30_dim320_ep100/mae_patch5_mask30_dim320_ep100_encoder.pt
MAE-1D,ASCAD.h5,50000,10000,100,128,0.0001,,,,,,LogisticRegression,2,cuda,1783664685.170886,1783666308.932921,1623.76,1623762.03,0,0,1783,outputs/figures/mae_patch5_mask30_dim320_ep100/mae_patch5_mask30_dim320_ep100_linear_probe_rank.png,outputs/checkpoints/mae_patch5_mask30_dim320_ep100/mae_patch5_mask30_dim320_ep100_encoder.pt
BYOL-1D,ASCAD.h5,50000,10000,100,128,0.0003,,320,128,,,LogisticRegression,2,cuda,1783668246.482756,1783668737.8793752,491.4,491396.62,0,0,3,outputs/figures/byol_weakaug_shift3_noise0p01_scale0p0_mask0_ema0p996_proj128_meanmax_ep100/byol_weakaug_shift3_noise0p01_scale0p0_mask0_ema0p996_proj128_meanmax_ep100_linear_probe_rank.png,outputs/checkpoints/byol_weakaug_shift3_noise0p01_scale0p0_mask0_ema0p996_proj128_meanmax_ep100/byol_weakaug_shift3_noise0p01_scale0p0_mask0_ema0p996_proj128_meanmax_ep100_encoder.pt
